email,company_name,domain,category,city,subject,body
innana.lasers@gmail.com,Innana Laser Clinic,www.innanalaserclinic.ca,Laser hair removal service,Bedford,"Dal student, quick question for Innana Laser","Hi,

Quick intro: I'm Dylan, a Dalhousie student building AI tools for local Bedford businesses. Thought Innana Laser Clinic might find this interesting.

I know laser clinics lose consultation leads to competitors when calls go unanswered. I've put together an AI agent that answers calls around the clock, books appointments, and brings back past clients who haven't visited in months.

Worth a quick look? Here's my calendar if so: calendly.com/realsideai

Cheers,
Dylan"
dartmouth@lifesalonspa.com,Life SalonSpa Bedford,www.lifesalonspa.com,Day spa,Bedford,For Life SalonSpa Bedford re: missed calls,"Hi,

I'm Dylan from Dalhousie University. I've been building AI phone agents specifically for day spas in Nova Scotia and wanted to connect with Life SalonSpa Bedford.

I know day spas lose their best bookings to unanswered after-hours calls. What I've built answers every call, handles scheduling, and can even re-engage old clients who dropped off.

If you're open to it, I'd love 10 minutes to show you: calendly.com/realsideai

Talk soon,
Dylan"
info@imaginesalonspa.ca,Imagine Salon & Spa,imaginesalonspa.ca,Beauty salon,Bedford,Quick question for Imagine Salon & Spa,"Hi,

I'm Dylan from Dalhousie University. I've been building AI phone agents specifically for beauty salons in Nova Scotia and wanted to connect with Imagine Salon & Spa.

I know how impossible it is to answer the phone when you're with a client. What I've built answers every call, handles scheduling, and can even re-engage old clients who dropped off.

If you're open to it, I'd love 10 minutes to show you: calendly.com/realsideai

Talk soon,
Dylan"
info@allsportsandwellness.ca,All Sports and Wellness,allsportsandwellness.janeapp.com,Sports massage therapist,Bedford,All Sports and + AI (from a Dal student),"Hey,

I'm a Dalhousie student working on something I think could help All Sports and Wellness.

I know how many calls service businesses miss during their busiest hours. I've built an AI that handles your incoming calls 24/7, books appointments into your calendar, and automatically follows up with clients who haven't been in for a while.

Would a quick chat be worth your time? Happy to walk you through it: calendly.com/realsideai

Dylan"
cs@twotan.com.my,Two Tan Wellness 二陈中医康复院,twotanwellness.ca,Acupuncturist,Bedford,Two Tan Wellness 二陈中医康复院 + AI (from a Dal student),"Hi there,

I'm Dylan, a student at Dalhousie University here in Halifax. I've been building an AI phone agent for local service businesses and wanted to reach out to Two Tan Wellness 二陈中医康复院.

I know how many calls service businesses miss during their busiest hours. So I built something that answers every call 24/7, books appointments, and follows up with past clients automatically.

Would you be open to a quick 10-minute chat to see if it could work for Two Tan Wellness 二陈中医康复院? Here's my calendar: calendly.com/realsideai

Cheers,
Dylan"
info@homebodhiwellness.ca,HOME BODHI WELLNESS,homebodhi-wellness.janeapp.com,Wellness center,Bedford,Bedford student with an idea for HOME BODHI WELLNESS,"Hi,

My name's Dylan, I'm a Dalhousie student in Halifax building AI for local businesses. I came across HOME BODHI WELLNESS and thought this might be relevant.

I know wellness centres lose a lot of first-time clients when calls go unanswered. I built an AI receptionist that picks up every call, books appointments, and re-engages past clients sitting in your system.

No pressure at all, but if you're curious I'd love to show you how it works: calendly.com/realsideai

Best,
Dylan"
hello@amaia.ca,amaïa,amaia.ca,Spa,Bedford,"Dal student, quick question for amaïa","Hi,

My name's Dylan, I'm a Dalhousie student in Halifax building AI for local businesses. I came across amaïa and thought this might be relevant.

I know spas lose high-value bookings when after-hours calls go to voicemail. I built an AI receptionist that picks up every call, books appointments, and re-engages past clients sitting in your system.

No pressure at all, but if you're curious I'd love to show you how it works: calendly.com/realsideai

Best,
Dylan"
bluejnails1475@gmail.com,Blue J Nails & Head Spa (Formerly Princess Nails & Head Spa),bluejnailsheadspa.com,Nail salon,Bedford,Idea for Blue J Nails & Head Spa,"Hi,

Quick intro: I'm Dylan, a Dalhousie student building AI tools for local Bedford businesses. Thought Blue J Nails & Head Spa (Formerly Princess Nails & Head Spa) might find this interesting.

Most nail salons I've talked to deal with double-bookings and no-shows constantly. I've put together an AI agent that answers calls around the clock, books appointments, and brings back past clients who haven't visited in months.

Worth a quick look? Here's my calendar if so: calendly.com/realsideai

Cheers,
Dylan"
info@latinotype.com,Glam Theory Studio - By Divya,www.glamtheory.ca,Beauty salon,Bedford,Glam Theory Studio - By Divya + AI (from a Dal student),"Hi,

My name's Dylan, I'm a Dalhousie student in Halifax building AI for local businesses. I came across Glam Theory Studio - By Divya and thought this might be relevant.

Most beauty salons I've talked to lose walk-in and call-in bookings during peak hours. I built an AI receptionist that picks up every call, books appointments, and re-engages past clients sitting in your system.

No pressure at all, but if you're curious I'd love to show you how it works: calendly.com/realsideai

Best,
Dylan"
osadchanv198207@gmail.com,SPA & Massage Nataliia Osadcha,nataliia-osadcha-spa-massage.square.site,Massage therapist,Bedford,Bedford student with an idea for SPA & Massage Nataliia Osadcha,"Hi there,

I'm Dylan, a student at Dalhousie University here in Halifax. I've been building an AI phone agent for local service businesses and wanted to reach out to SPA & Massage Nataliia Osadcha.

I know every missed call during a session is potentially a lost booking. So I built something that answers every call 24/7, books appointments, and follows up with past clients automatically.

Would you be open to a quick 10-minute chat to see if it could work for SPA & Massage Nataliia Osadcha? Here's my calendar: calendly.com/realsideai

Cheers,
Dylan"
39cc710ca6e84f94ba613569a1076da3@airetax.com,Atmosphere Day Spa,www.atmospheredayspa.ca,Day spa,Hammonds Plains,"Dal student, quick question for Atmosphere Day Spa","Hi,

Quick intro: I'm Dylan, a Dalhousie student building AI tools for local Hammonds Plains businesses. Thought Atmosphere Day Spa might find this interesting.

I know day spas lose their best bookings to unanswered after-hours calls. I've put together an AI agent that answers calls around the clock, books appointments, and brings back past clients who haven't visited in months.

Worth a quick look? Here's my calendar if so: calendly.com/realsideai

Cheers,
Dylan"
mishkat.walaa@gmail.com,Galaxy Healing,www.galaxyhealing.net,Acupuncture clinic,Halifax,"Dal student, quick question for Galaxy Healing","Hi,

Quick intro: I'm Dylan, a Dalhousie student building AI tools for local Halifax businesses. Thought Galaxy Healing might find this interesting.

I know acupuncture clinics can't answer the phone during treatments. I've put together an AI agent that answers calls around the clock, books appointments, and brings back past clients who haven't visited in months.

Worth a quick look? Here's my calendar if so: calendly.com/realsideai

Cheers,
Dylan"
amtc@massagetherapy.ns.ca,Atlantic Massage Therapy Inc,massagetherapy.ns.ca,Massage therapist,Bedford,Saw Atlantic Massage Therapy in Bedford,"Hi,

I'm Dylan from Dalhousie University. I've been building AI phone agents specifically for massage therapists in Nova Scotia and wanted to connect with Atlantic Massage Therapy Inc.

I know every missed call during a session is potentially a lost booking. What I've built answers every call, handles scheduling, and can even re-engage old clients who dropped off.

If you're open to it, I'd love 10 minutes to show you: calendly.com/realsideai

Talk soon,
Dylan"
hi@mystore.com,LakeSide Massage & Hydrotherapy,lakeside-massage-and-hydrotherapy.square.site,Massage therapist,Lower Sackville,Idea for LakeSide Massage &,"Hi there,

I'm Dylan, a student at Dalhousie University here in Halifax. I've been building an AI phone agent for local service businesses and wanted to reach out to LakeSide Massage & Hydrotherapy.

I know every missed call during a session is potentially a lost booking. So I built something that answers every call 24/7, books appointments, and follows up with past clients automatically.

Would you be open to a quick 10-minute chat to see if it could work for LakeSide Massage &? Here's my calendar: calendly.com/realsideai

Cheers,
Dylan"
info@thesaltroom.ca,The Salt Room,www.thesaltroom.ca,Health spa,Halifax,The Salt Room + AI (from a Dal student),"Hi,

I'm Dylan from Dalhousie University. I've been building AI phone agents specifically for health spas in Nova Scotia and wanted to connect with The Salt Room.

I know health spas lose bookings when calls go unanswered during treatments. What I've built answers every call, handles scheduling, and can even re-engage old clients who dropped off.

If you're open to it, I'd love 10 minutes to show you: calendly.com/realsideai

Talk soon,
Dylan"
toptiermassagehfx@gmail.com,Top Tier Massage,www.toptiermassage.ca,Massage therapist,Bedford,Saw Top Tier Massage in Bedford,"Hi,

My name's Dylan, I'm a Dalhousie student in Halifax building AI for local businesses. I came across Top Tier Massage and thought this might be relevant.

I know every missed call during a session is potentially a lost booking. I built an AI receptionist that picks up every call, books appointments, and re-engages past clients sitting in your system.

No pressure at all, but if you're curious I'd love to show you how it works: calendly.com/realsideai

Best,
Dylan"
info@bodytreat.ca,Bodytreat Wellness,bodytreat.ca,Massage therapist,Hammonds Plains,For Bodytreat re: missed calls,"Hey there,

I'm a student at Dal here in Halifax, and I've been working on an AI receptionist built for local businesses like Bodytreat Wellness.

I know every missed call during a session is potentially a lost booking. The AI I built picks up every single call, books appointments, and texts clients back if they called after hours.

Would you be open to a quick demo? I promise it's only 10 minutes: calendly.com/realsideai

Dylan"
info@jadorenails.ca,J'adore Nails Salon & Spa,www.jadorenails.ca,Nail salon,Bedford,For J'adore Nails Salon & Spa re: missed calls,"Hi,

My name's Dylan, I'm a Dalhousie student in Halifax building AI for local businesses. I came across J'adore Nails Salon & Spa and thought this might be relevant.

Most nail salons I've talked to deal with double-bookings and no-shows constantly. I built an AI receptionist that picks up every call, books appointments, and re-engages past clients sitting in your system.

No pressure at all, but if you're curious I'd love to show you how it works: calendly.com/realsideai

Best,
Dylan"
joirnails@gmail.com,Joir Nails Studio (Bedford),joirnailstudio.ca,Nail salon,Bedford,Joir Nails Studio (Bedford) + AI (from a Dal student),"Hi,

My name's Dylan, I'm a Dalhousie student in Halifax building AI for local businesses. I came across Joir Nails Studio (Bedford) and thought this might be relevant.

Most nail salons I've talked to deal with double-bookings and no-shows constantly. I built an AI receptionist that picks up every call, books appointments, and re-engages past clients sitting in your system.

No pressure at all, but if you're curious I'd love to show you how it works: calendly.com/realsideai

Best,
Dylan"
info@fourseasonnails.com,FOUR SEASON NAILS Salon & Spa,www.fourseasonnails.co,Nail salon,Bedford,Bedford student with an idea for FOUR SEASON NAILS Salon & Spa,"Hi,

My name's Dylan, I'm a Dalhousie student in Halifax building AI for local businesses. I came across FOUR SEASON NAILS Salon & Spa and thought this might be relevant.

I know the phone never stops ringing at nail salons, especially on weekends. I built an AI receptionist that picks up every call, books appointments, and re-engages past clients sitting in your system.

No pressure at all, but if you're curious I'd love to show you how it works: calendly.com/realsideai

Best,
Dylan"
hello@halifaxprenatalmassage.com,Halifax Prenatal Massage,halifaxprenatalmassage.com,Massage therapist,Halifax,Quick question for Halifax Prenatal Massage,"Hey there,

I'm a student at Dal here in Halifax, and I've been working on an AI receptionist built for local businesses like Halifax Prenatal Massage.

Most massage therapists I've talked to say the phone is their biggest headache since they can't answer mid-session. The AI I built picks up every single call, books appointments, and texts clients back if they called after hours.

Would you be open to a quick demo? I promise it's only 10 minutes: calendly.com/realsideai

Dylan"
salon@deannabeauty.ca,Skin Deep Aesthetics,deannabeauty.ca,Beauty salon,Halifax,"Dal student, quick question for Skin Deep Aesthetics","Hi,

I'm Dylan from Dalhousie University. I've been building AI phone agents specifically for beauty salons in Nova Scotia and wanted to connect with Skin Deep Aesthetics.

Most beauty salons I've talked to lose walk-in and call-in bookings during peak hours. What I've built answers every call, handles scheduling, and can even re-engage old clients who dropped off.

If you're open to it, I'd love 10 minutes to show you: calendly.com/realsideai

Talk soon,
Dylan"
hi@mystore.com,YANA'S VIP NAILS & SPA PEDICURES,yanas-vip-nails-spa-pedicures.square.site,Nail salon,Bedford,YANA'S VIP NAILS & SPA + AI (from a Dal student),"Hi,

My name's Dylan, I'm a Dalhousie student in Halifax building AI for local businesses. I came across YANA'S VIP NAILS & SPA PEDICURES and thought this might be relevant.

Most nail salons I've talked to deal with double-bookings and no-shows constantly. I built an AI receptionist that picks up every call, books appointments, and re-engages past clients sitting in your system.

No pressure at all, but if you're curious I'd love to show you how it works: calendly.com/realsideai

Best,
Dylan"
kristine.corkum@yahoo.ca,Massage Roots Holistic Care,massageroots.ca,Massage therapist,Bedford,Idea for Massage Roots Holistic Care,"Hi,

Quick intro: I'm Dylan, a Dalhousie student building AI tools for local Bedford businesses. Thought Massage Roots Holistic Care might find this interesting.

I know every missed call during a session is potentially a lost booking. I've put together an AI agent that answers calls around the clock, books appointments, and brings back past clients who haven't visited in months.

Worth a quick look? Here's my calendar if so: calendly.com/realsideai

Cheers,
Dylan"
info@elitemedspanh.com,Elite Medical Spa,elitemedspanh.com,Medical spa,Bedford,For Elite Medical Spa re: missed calls,"Hi,

My name's Dylan, I'm a Dalhousie student in Halifax building AI for local businesses. I came across Elite Medical Spa and thought this might be relevant.

I know how competitive the med spa space is in Nova Scotia, and speed-to-lead really matters. I built an AI receptionist that picks up every call, books appointments, and re-engages past clients sitting in your system.

No pressure at all, but if you're curious I'd love to show you how it works: calendly.com/realsideai

Best,
Dylan"
info@thecompassrose.ca,The Compass Rose Health and Wellness Centre,www.thecompassrose.ca,Mental health service,Bedford,"Dal student, quick question for The Compass Rose Health and","Hi,

Quick intro: I'm Dylan, a Dalhousie student building AI tools for local Bedford businesses. Thought The Compass Rose Health and Wellness Centre might find this interesting.

I know mental health practices lose new client inquiries when calls go unanswered during sessions. I've put together an AI agent that answers calls around the clock, books appointments, and brings back past clients who haven't visited in months.

Worth a quick look? Here's my calendar if so: calendly.com/realsideai

Cheers,
Dylan"
larryuteck@massageaddict.ca,Massage Addict Bedford Larry Uteck,www.massageaddict.ca,Massage therapist,Bedford,"Dal student, quick question for Massage Addict Bedford Larry","Hi,

My name's Dylan, I'm a Dalhousie student in Halifax building AI for local businesses. I came across Massage Addict Bedford Larry Uteck and thought this might be relevant.

Most massage therapists I've talked to say the phone is their biggest headache since they can't answer mid-session. I built an AI receptionist that picks up every call, books appointments, and re-engages past clients sitting in your system.

No pressure at all, but if you're curious I'd love to show you how it works: calendly.com/realsideai

Best,
Dylan"
stillwaters.healing2@gmail.com,Stillwaters Healing Inc.,stillwaters-healing.com,Massage therapist,Bedford,Quick question for Stillwaters Healing,"Hi,

I'm Dylan from Dalhousie University. I've been building AI phone agents specifically for massage therapists in Nova Scotia and wanted to connect with Stillwaters Healing Inc..

I know every missed call during a session is potentially a lost booking. What I've built answers every call, handles scheduling, and can even re-engage old clients who dropped off.

If you're open to it, I'd love 10 minutes to show you: calendly.com/realsideai

Talk soon,
Dylan"
marybeth@kneadedbalance.ca,Kneaded Balance Massage & Wellness,kneadedbalancemassage.janeapp.com,Massage therapist,Halifax,"Dal student, quick question for Kneaded Balance Massage &","Hi,

My name's Dylan, I'm a Dalhousie student in Halifax building AI for local businesses. I came across Kneaded Balance Massage & Wellness and thought this might be relevant.

Most massage therapists I've talked to say the phone is their biggest headache since they can't answer mid-session. I built an AI receptionist that picks up every call, books appointments, and re-engages past clients sitting in your system.

No pressure at all, but if you're curious I'd love to show you how it works: calendly.com/realsideai

Best,
Dylan"
info@salonresourcegroup.com,The Head Shoppe - Bedford,www.headshoppe.ca,Beauty salon,Bedford,Bedford student with an idea for The Head Shoppe - Bedford,"Hi,

I'm Dylan from Dalhousie University. I've been building AI phone agents specifically for beauty salons in Nova Scotia and wanted to connect with The Head Shoppe - Bedford.

I know how impossible it is to answer the phone when you're with a client. What I've built answers every call, handles scheduling, and can even re-engage old clients who dropped off.

If you're open to it, I'd love 10 minutes to show you: calendly.com/realsideai

Talk soon,
Dylan"
burnside@novaphysiotherapy.ca,Nova Physiotherapy - Bedford,novaphysiotherapy.ca,Massage therapist,Halifax,"Dal student, quick question for Nova Physiotherapy - Bedford","Hi,

Quick intro: I'm Dylan, a Dalhousie student building AI tools for local Halifax businesses. Thought Nova Physiotherapy - Bedford might find this interesting.

I know every missed call during a session is potentially a lost booking. I've put together an AI agent that answers calls around the clock, books appointments, and brings back past clients who haven't visited in months.

Worth a quick look? Here's my calendar if so: calendly.com/realsideai

Cheers,
Dylan"
connect@the-lifehouse.com,The Lifehouse,www.the-lifehouse.com,Massage therapist,Hammonds Plains,For The Lifehouse re: missed calls,"Hi,

I'm Dylan from Dalhousie University. I've been building AI phone agents specifically for massage therapists in Nova Scotia and wanted to connect with The Lifehouse.

I know every missed call during a session is potentially a lost booking. What I've built answers every call, handles scheduling, and can even re-engage old clients who dropped off.

If you're open to it, I'd love 10 minutes to show you: calendly.com/realsideai

Talk soon,
Dylan"
info@homebodhiwellness.ca,Taylor Hirtle Acupuncture,taylorhirtle-acupuncture.janeapp.com,Acupuncture clinic,Bedford,Taylor Hirtle Acupuncture + AI (from a Dal student),"Hi,

Quick intro: I'm Dylan, a Dalhousie student building AI tools for local Bedford businesses. Thought Taylor Hirtle Acupuncture might find this interesting.

I know acupuncture clinics can't answer the phone during treatments. I've put together an AI agent that answers calls around the clock, books appointments, and brings back past clients who haven't visited in months.

Worth a quick look? Here's my calendar if so: calendly.com/realsideai

Cheers,
Dylan"
hello@vmedical.ca,Valley Medical,www.vmedical.ca,Medical spa,Kentville,Valley Medical + AI (from a Dal student),"Hi,

My name's Dylan, I'm a Dalhousie student in Halifax building AI for local businesses. I came across Valley Medical and thought this might be relevant.

I've been looking at how many Botox and filler inquiries med spas lose to missed after-hours calls. I built an AI receptionist that picks up every call, books appointments, and re-engages past clients sitting in your system.

No pressure at all, but if you're curious I'd love to show you how it works: calendly.com/realsideai

Best,
Dylan"
jiacmd@yahoo.ca,Quality Life Healing Centre,www.acupuncturehalifax.com,Acupuncture clinic,Bedford,Idea for Quality Life Healing,"Hi,

My name's Dylan, I'm a Dalhousie student in Halifax building AI for local businesses. I came across Quality Life Healing Centre and thought this might be relevant.

I know acupuncture clinics can't answer the phone during treatments. I built an AI receptionist that picks up every call, books appointments, and re-engages past clients sitting in your system.

No pressure at all, but if you're curious I'd love to show you how it works: calendly.com/realsideai

Best,
Dylan"
melissadoucettermt@gmail.com,Mella Massage Therapy,mellamassagetherapy.janeapp.com,Massage therapist,Bedford,Quick question for Mella Massage Therapy,"Hey there,

I'm a student at Dal here in Halifax, and I've been working on an AI receptionist built for local businesses like Mella Massage Therapy.

I know every missed call during a session is potentially a lost booking. The AI I built picks up every single call, books appointments, and texts clients back if they called after hours.

Would you be open to a quick demo? I promise it's only 10 minutes: calendly.com/realsideai

Dylan"
jeremy.rhythmic.massage@gmail.com,Rhythmic Massage,sites.google.com,Massage therapist,Lower Sackville,Lower Sackville student with an idea for Rhythmic Massage,"Hey,

I'm a Dalhousie student working on something I think could help Rhythmic Massage.

Most massage therapists I've talked to say the phone is their biggest headache since they can't answer mid-session. I've built an AI that handles your incoming calls 24/7, books appointments into your calendar, and automatically follows up with clients who haven't been in for a while.

Would a quick chat be worth your time? Happy to walk you through it: calendly.com/realsideai

Dylan"
admin@thelalajigroup.com,Lala Ji The Barber Shop Bedford | Best Barber in Bedford,lalajithebarbershop.ca,Hairdresser,Bedford,Lala Ji The Barber Shop + AI (from a Dal student),"Hi,

Quick intro: I'm Dylan, a Dalhousie student building AI tools for local Bedford businesses. Thought Lala Ji The Barber Shop Bedford | Best Barber in Bedford might find this interesting.

I know how hard it is to answer booking calls when you're mid-appointment. I've put together an AI agent that answers calls around the clock, books appointments, and brings back past clients who haven't visited in months.

Worth a quick look? Here's my calendar if so: calendly.com/realsideai

Cheers,
Dylan"
privacypolicyupdates@automattic.com,Tranquility Spa,www.tranquility-spa.ca,Spa,Dartmouth,Saw Tranquility Spa in Dartmouth,"Hey there,

I'm a student at Dal here in Halifax, and I've been working on an AI receptionist built for local businesses like Tranquility Spa.

I know spas lose high-value bookings when after-hours calls go to voicemail. The AI I built picks up every single call, books appointments, and texts clients back if they called after hours.

Would you be open to a quick demo? I promise it's only 10 minutes: calendly.com/realsideai

Dylan"
info@faceclinic.ca,Face Clinic Halifax,faceclinic.ca,Skin care clinic,Halifax,Idea for Face Clinic Halifax,"Hey,

I'm a Dalhousie student working on something I think could help Face Clinic Halifax.

I know skin care clinics lose consultation leads when calls go to voicemail. I've built an AI that handles your incoming calls 24/7, books appointments into your calendar, and automatically follows up with clients who haven't been in for a while.

Would a quick chat be worth your time? Happy to walk you through it: calendly.com/realsideai

Dylan"
violetdayspa@ns.aliantzinc.ca,Violet Spa,www.violetspa.ca,Massage therapist,Dartmouth,Would this help Violet Spa?,"Hi,

I'm Dylan from Dalhousie University. I've been building AI phone agents specifically for massage therapists in Nova Scotia and wanted to connect with Violet Spa.

Most massage therapists I've talked to say the phone is their biggest headache since they can't answer mid-session. What I've built answers every call, handles scheduling, and can even re-engage old clients who dropped off.

If you're open to it, I'd love 10 minutes to show you: calendly.com/realsideai

Talk soon,
Dylan"
blurrdlines11@gmail.com,Blurr'd Lines Med Spa Dartmouth MA,blurrdlines.com,Medical spa,Dartmouth,For Blurr'd Lines Med Spa re: missed calls,"Hi,

Quick intro: I'm Dylan, a Dalhousie student building AI tools for local Dartmouth businesses. Thought Blurr'd Lines Med Spa Dartmouth MA might find this interesting.

Most med spas I've talked to have hundreds of past clients in their CRM who haven't rebooked. I've put together an AI agent that answers calls around the clock, books appointments, and brings back past clients who haven't visited in months.

Worth a quick look? Here's my calendar if so: calendly.com/realsideai

Cheers,
Dylan"
info@basinviewchiropractic.com,Basin View Chiropractic,www.basinviewchiropractic.com,Chiropractor,Bedford,For Basin View re: missed calls,"Hi,

I'm Dylan from Dalhousie University. I've been building AI phone agents specifically for chiropractors in Nova Scotia and wanted to connect with Basin View Chiropractic.

I've been looking at how many new patient calls go to voicemail at chiropractic offices. What I've built answers every call, handles scheduling, and can even re-engage old clients who dropped off.

If you're open to it, I'd love 10 minutes to show you: calendly.com/realsideai

Talk soon,
Dylan"
info@roachchiropractic.com,Roach Chiropractic Centre,www.roachchiropractic.com,Chiropractor,Bedford,For Roach re: missed calls,"Hey there,

I'm a student at Dal here in Halifax, and I've been working on an AI receptionist built for local businesses like Roach Chiropractic Centre.

Most chiro practices I've talked to have past patients who dropped off and never came back. The AI I built picks up every single call, books appointments, and texts clients back if they called after hours.

Would you be open to a quick demo? I promise it's only 10 minutes: calendly.com/realsideai

Dylan"
info@beewellihc.com,Bee Well Integrated Health Centre (IHC),beewellihc.com,Chiropractor,Bedford,Would this help Bee Well Integrated Health?,"Hi there,

I'm Dylan, a student at Dalhousie University here in Halifax. I've been building an AI phone agent for local service businesses and wanted to reach out to Bee Well Integrated Health Centre (IHC).

I know chiropractic offices get slammed with calls between adjustments and it's tough to keep up. So I built something that answers every call 24/7, books appointments, and follows up with past clients automatically.

Would you be open to a quick 10-minute chat to see if it could work for Bee Well Integrated Health? Here's my calendar: calendly.com/realsideai

Cheers,
Dylan"
dart@choicehealthcentre.com,Choice Health Centre,choicehealthcentre.com,Chiropractor,Bedford,"Dal student, quick question for Choice Health","Hey there,

I'm a student at Dal here in Halifax, and I've been working on an AI receptionist built for local businesses like Choice Health Centre.

I've been looking at how many new patient calls go to voicemail at chiropractic offices. The AI I built picks up every single call, books appointments, and texts clients back if they called after hours.

Would you be open to a quick demo? I promise it's only 10 minutes: calendly.com/realsideai

Dylan"
info@hammondchiro.ca,Hammond Chiropractic Health Centre,www.hammondchiro.ca,Chiropractor,Bedford,Saw Hammond Chiropractic Health in Bedford,"Hey there,

I'm a student at Dal here in Halifax, and I've been working on an AI receptionist built for local businesses like Hammond Chiropractic Health Centre.

I know chiropractic offices get slammed with calls between adjustments and it's tough to keep up. The AI I built picks up every single call, books appointments, and texts clients back if they called after hours.

Would you be open to a quick demo? I promise it's only 10 minutes: calendly.com/realsideai

Dylan"
thechiropracticloft@gmail.com,The Chiropractic Loft,chiroloft.com,Chiropractor,Halifax,Idea for The Chiropractic Loft,"Hey,

I'm a Dalhousie student working on something I think could help The Chiropractic Loft.

I know chiropractic offices get slammed with calls between adjustments and it's tough to keep up. I've built an AI that handles your incoming calls 24/7, books appointments into your calendar, and automatically follows up with clients who haven't been in for a while.

Would a quick chat be worth your time? Happy to walk you through it: calendly.com/realsideai

Dylan"
info@maritimechiropractic.ca,Maritime Chiropractic & Wellness,www.maritimechiropractic.ca,Chiropractor,Halifax,Saw Maritime Chiropractic & in Halifax,"Hi,

Quick intro: I'm Dylan, a Dalhousie student building AI tools for local Halifax businesses. Thought Maritime Chiropractic & Wellness might find this interesting.

Most chiro practices I've talked to have past patients who dropped off and never came back. I've put together an AI agent that answers calls around the clock, books appointments, and brings back past clients who haven't visited in months.

Worth a quick look? Here's my calendar if so: calendly.com/realsideai

Cheers,
Dylan"
reception@halifaxchiropractic.ca,Halifax Chiropractic Clinic,www.halifaxchiropractic.ca,Chiropractor,Halifax,Idea for Halifax,"Hi,

Quick intro: I'm Dylan, a Dalhousie student building AI tools for local Halifax businesses. Thought Halifax Chiropractic Clinic might find this interesting.

I've been looking at how many new patient calls go to voicemail at chiropractic offices. I've put together an AI agent that answers calls around the clock, books appointments, and brings back past clients who haven't visited in months.

Worth a quick look? Here's my calendar if so: calendly.com/realsideai

Cheers,
Dylan"
info@claytonparkchiro.ca,Clayton Park Chiropractic Centre,www.claytonparkchiro.ca,Chiropractor,Halifax,"Dal student, quick question for Clayton Park","Hi,

My name's Dylan, I'm a Dalhousie student in Halifax building AI for local businesses. I came across Clayton Park Chiropractic Centre and thought this might be relevant.

I know chiropractic offices get slammed with calls between adjustments and it's tough to keep up. I built an AI receptionist that picks up every call, books appointments, and re-engages past clients sitting in your system.

No pressure at all, but if you're curious I'd love to show you how it works: calendly.com/realsideai

Best,
Dylan"
admin@currentschiro.ca,Currents Chiropractic Studio,currentschiro.ca,Chiropractor,Halifax,Would this help Currents?,"Hi there,

I'm Dylan, a student at Dalhousie University here in Halifax. I've been building an AI phone agent for local service businesses and wanted to reach out to Currents Chiropractic Studio.

Most chiro practices I've talked to have past patients who dropped off and never came back. So I built something that answers every call 24/7, books appointments, and follows up with past clients automatically.

Would you be open to a quick 10-minute chat to see if it could work for Currents? Here's my calendar: calendly.com/realsideai

Cheers,
Dylan"
reception@halifaxchiro.com,Dr. MacAdam & Associates,halifaxchiro.com,Chiropractor,Halifax,Halifax student with an idea for MacAdam &,"Hi,

I'm Dylan from Dalhousie University. I've been building AI phone agents specifically for chiropractors in Nova Scotia and wanted to connect with Dr. MacAdam & Associates.

Most chiro practices I've talked to have past patients who dropped off and never came back. What I've built answers every call, handles scheduling, and can even re-engage old clients who dropped off.

If you're open to it, I'd love 10 minutes to show you: calendly.com/realsideai

Talk soon,
Dylan"
robiechiro@gmail.com,Robie at Spring Garden Chiropractic Clinic,www.robiechiro.com,Chiropractor,Halifax,Robie at Spring Garden + AI (from a Dal student),"Hi there,

I'm Dylan, a student at Dalhousie University here in Halifax. I've been building an AI phone agent for local service businesses and wanted to reach out to Robie at Spring Garden Chiropractic Clinic.

I know chiropractic offices get slammed with calls between adjustments and it's tough to keep up. So I built something that answers every call 24/7, books appointments, and follows up with past clients automatically.

Would you be open to a quick 10-minute chat to see if it could work for Robie at Spring Garden? Here's my calendar: calendly.com/realsideai

Cheers,
Dylan"
info@welchchiropractic.ca,"Dr. Krista Prowse Welch, Halifax Chiropractor @ Welch Chiropractic",www.welchchiropractic.ca,Chiropractor,Halifax,"Saw Krista Prowse Welch, Halifax in Halifax","Hi,

My name's Dylan, I'm a Dalhousie student in Halifax building AI for local businesses. I came across Dr. Krista Prowse Welch, Halifax Chiropractor @ Welch Chiropractic and thought this might be relevant.

I know chiropractic offices get slammed with calls between adjustments and it's tough to keep up. I built an AI receptionist that picks up every call, books appointments, and re-engages past clients sitting in your system.

No pressure at all, but if you're curious I'd love to show you how it works: calendly.com/realsideai

Best,
Dylan"
info@parkwestchiro.ca,Park West Chiropractic - Dr. Shawn Toner,www.parkwestchiro.ca,Chiropractor,Halifax,Would this help Park West Chiropractic - Dr.?,"Hi,

Quick intro: I'm Dylan, a Dalhousie student building AI tools for local Halifax businesses. Thought Park West Chiropractic - Dr. Shawn Toner might find this interesting.

I know chiropractic offices get slammed with calls between adjustments and it's tough to keep up. I've put together an AI agent that answers calls around the clock, books appointments, and brings back past clients who haven't visited in months.

Worth a quick look? Here's my calendar if so: calendly.com/realsideai

Cheers,
Dylan"
